order_id,quantity,createdAt,item_name,price
1,1,2023-07-03 08:51:14.899+00,kimbap veg,350
1,2,2023-07-03 08:52:39.012+00,Soju,500
1,1,2023-07-03 08:51:14.899+00,kimbap veg,350
2,1,2023-07-03 08:51:14.899+00,kimbap veg,350
3,1,2023-07-03 08:52:02.001+00,Japchae Veg,900
4,1,2023-07-03 08:52:39.012+00,Soju,500
5,2,2023-07-03 08:51:14.899+00,kimbap veg,350
6,2,2023-07-03 08:52:39.012+00,Soju,500
6,1,2023-07-03 08:52:02.001+00,Japchae Veg,900
7,1,2023-07-03 08:51:14.899+00,kimbap veg,350
10,1,2023-07-03 09:43:01.334+00,Kimbap Tuna,450
10,1,2023-07-03 12:28:44.816+00,Iced Mocha,430
8,1,2023-07-03 12:28:00.749+00,Iced Americano,320
8,1,2023-07-03 09:43:01.334+00,Kimbap Tuna,450
9,1,2023-07-03 13:20:28.621+00,8848 vodka  (180 ml ),1000
11,1,2023-07-03 11:44:49.099+00,Kimchi Jigae Pork,650
11,1,2023-07-04 09:58:10.607+00,Samgyeopsal Pork 1 person,1100
11,1,2023-07-03 12:00:33.981+00,Kimchi Bokkeumbap Beef,800
11,1,2023-07-03 14:12:08.854+00,Rice per bowl,150
12,1,2023-07-03 09:42:36.87+00,Kimbap Chicken ,450
12,1,2023-07-03 11:57:19.956+00,Jeyuk Deopbap Pork,650
12,1,2023-07-03 14:18:52.131+00,Water,100
13,2,2023-07-04 09:58:10.607+00,Samgyeopsal Pork 1 person,1100
13,1,2023-07-03 11:57:02.161+00,Jeyuk Deopbap chicken,650
14,1,2023-07-03 12:03:26.494+00,Samgyeopsal Pork (450 gm),2000
14,1,2023-07-03 11:57:02.161+00,Jeyuk Deopbap chicken,650
14,1,2023-07-03 11:44:32.739+00,Kimchi Jigae Chicken,650
14,1,2023-07-03 14:18:52.131+00,Water,100
14,1,2023-07-03 14:18:52.131+00,Water,100
15,1,2023-07-03 12:03:26.494+00,Samgyeopsal Pork (450 gm),2000
15,1,2023-07-03 11:57:02.161+00,Jeyuk Deopbap chicken,650
15,1,2023-07-03 11:44:32.739+00,Kimchi Jigae Chicken,650
15,1,2023-07-03 14:18:52.131+00,Water,100
17,1,2023-07-03 09:42:36.87+00,Kimbap Chicken ,450
16,2,2023-07-03 08:51:14.899+00,kimbap veg,350
18,1,2023-07-03 09:43:01.334+00,Kimbap Tuna,450
18,1,2023-07-03 09:42:36.87+00,Kimbap Chicken ,450
18,1,2023-07-03 12:03:26.494+00,Samgyeopsal Pork (450 gm),2000
